period,atmid,layout,value_unit_published,atm_onsite,atm_offsite,pos_online,pos_offline,cc_cards,cc_atm_vol,cc_pos_vol,cc_atm_val,cc_pos_val,dc_cards,dc_atm_vol,dc_pos_vol,dc_atm_val,dc_pos_val,atm_online,atm_offline,micro_atm,bharat_qr,pos,upi_qr,cc_ecom_vol,cc_ecom_val,cc_other_vol,cc_other_val,dc_ecom_vol,dc_ecom_val,dc_other_vol,dc_other_val,dc_cashpos_vol,dc_cashpos_val,cc_atm_val_mn,cc_pos_val_mn,dc_atm_val_mn,dc_pos_val_mn,cc_ecom_val_mn,cc_other_val_mn,dc_ecom_val_mn,dc_other_val_mn,dc_cashpos_val_mn
2016-09,68,A14,million,107008.0,97210.0,1477555.0,2754.0,26856758.0,602388.0,77928467.0,2852.50785719,241977.11584184,728195958.0,742134866.0,125190417.0,2219762.31697659,159321.18069702,,,,,,,,,,,,,,,,,2852.50785719,241977.11584184,2219762.31697659,159321.18069702,,,,,
2016-10,67,A14,million,107420.0,97731.0,1511769.0,299.0,27344842.0,620905.0,88864901.0,2996.8013839500004,299424.0082065999,748278909.0,802064418.0,140586967.0,2547814.4746276494,219412.83516586,,,,,,,,,,,,,,,,,2996.8013839500004,299424.0082065999,2547814.4746276494,219412.83516586,,,,,
2016-11,69,A14,million,107489.0,97920.0,1590415.0,299.0,27783026.0,402919.0,97911525.0,1393.0397552200004,265593.99141370994,751197796.0,561355720.0,236466565.0,1234516.2282229895,321742.7644943601,,,,,,,,,,,,,,,,,1393.0397552200004,265593.99141370994,1234516.2282229895,321742.7644943601,,,,,
2016-12,70,A14,million,107758.0,98102.0,1766481.0,1252.0,28321039.0,375943.0,116082819.0,880.9108861300001,311491.18875443,764431356.0,630466234.0,415461956.0,849340.8646325101,580312.45734832,,,,,,,,,,,,,,,,,880.9108861300001,311491.18875443,849340.8646325101,580312.45734832,,,,,
2017-01,71,A14,million,108403.0,98206.0,2013601.0,2246.0,28845858.0,440618.0,112802575.0,1539.2487672034497,327082.47903828503,778565537.0,712347249.0,328623459.0,1516436.7139827702,490041.89896337996,,,,,,,,,,,,,,,,,1539.2487672034497,327082.47903828503,1516436.7139827702,490041.89896337996,,,,,
2017-02,72,A14,million,109001.0,98401.0,2222179.0,2798.0,29078655.0,423716.0,94926631.0,1909.8101156199998,287042.29146912,759421228.0,692567162.0,251749506.0,1928381.3054094804,358433.65792642994,,,,,,,,,,,,,,,,,1909.8101156199998,287042.29146912,1928381.3054094804,358433.65792642994,,,,,
2017-03,73,A14,million,109809.0,98545.0,2526342.0,2799.0,29842235.0,489248.0,107610258.0,2291.2005308099997,333904.92524515005,771649172.0,710108656.0,271172292.0,2259457.37591194,356991.3226256902,,,,,,,,,,,,,,,,,2291.2005308099997,333904.92524515005,2259457.37591194,356991.3226256902,,,,,
2017-04,74,A14,million,109740.0,98073.0,2614584.0,0.0,30374102.0,481711.0,106578071.0,2327.23923882,331429.03626548,780795417.0,660321091.0,272838572.0,2168595.756706999,380572.1556775897,,,,,,,,,,,,,,,,,2327.23923882,331429.03626548,2168595.756706999,380572.1556775897,,,,,
2017-05,75,A14,million,110116.0,98360.0,2692986.0,0.0,30856236.0,546400.0,115330492.0,2609.0275694399993,361406.83778095,790357565.0,655471690.0,269845687.0,2163917.7630019006,377777.9292448694,,,,,,,,,,,,,,,,,2609.0275694399993,361406.83778095,2163917.7630019006,377777.9292448694,,,,,
2017-06,76,A14,million,110385.0,98092.0,2776949.0,0.0,31477712.0,554992.0,109471450.0,2670.8715218599996,354832.25055854,797541881.0,667805951.0,259830740.0,2256928.1590641504,380904.45959153003,,,,,,,,,,,,,,,,,2670.8715218599996,354832.25055854,2256928.1590641504,380904.45959153003,,,,,
2017-07,77,A14,million,110146.0,98060.0,2840113.0,0.0,32056929.0,613206.0,110762306.0,2848.50939639,339297.4114637,804051123.0,703913571.0,261256191.0,2270761.156995,351310.4547731105,,,,,,,,,,,,,,,,,2848.50939639,339297.4114637,2270761.156995,351310.4547731105,,,,,
2017-08,78,A14,million,109232.0,98879.0,2882422.0,0.0,32645679.0,659263.0,115326572.0,3045.4693331400003,362987.83513679,810868624.0,718409781.0,267623131.0,2352957.18417627,356653.83893843106,,,,,,,,,,,,,,,,,3045.4693331400003,362987.83513679,2352957.18417627,356653.83893843106,,,,,
2017-09,79,A14,million,110196.0,97179.0,2900038.0,0.0,33342644.0,654546.0,112632229.0,3106.3906294199996,374654.65986718005,819762867.0,726417206.0,266361467.0,2419539.9033746705,369320.78095034993,,,,,,,,,,,,,,,,,3106.3906294199996,374654.65986718005,2419539.9033746705,369320.78095034993,,,,,
2017-10,80,A14,million,109949.0,96844.0,2958301.0,0.0,33870443.0,679823.0,123363791.0,3210.1329708999997,419389.77654095006,826254730.0,741867386.0,280003351.0,2533209.87441251,411404.0357159953,,,,,,,,,,,,,,,,,3210.1329708999997,419389.77654095006,2533209.87441251,411404.0357159953,,,,,
2017-11,81,A14,million,109860.0,96834.0,2998733.0,0.0,34775605.0,687530.0,115900202.0,3204.0005129799997,392962.00077627,832888354.0,731332595.0,270964291.0,2492721.7060295097,365192.98442974186,,,,,,,,,,,,,,,,,3204.0005129799997,392962.00077627,2492721.7060295097,365192.98442974186,,,,,
2017-12,82,A14,million,109908.0,97128.0,3027382.0,0.0,35496202.0,713363.0,123769158.0,3340.59919252,418636.70547940995,842471191.0,761931584.0,292388409.0,2640389.161251339,407602.9979925126,,,,,,,,,,,,,,,,,3340.59919252,418636.70547940995,2640389.161251339,407602.9979925126,,,,,
2018-01,83,A14,million,107659.0,99080.0,3061817.0,0.0,36238240.0,745019.0,129980162.0,3408.922730930001,414371.52606218006,846697494.0,741564703.0,301374550.0,2550216.7571253297,411026.86269162176,,,,,,,,,,,,,,,,,3408.922730930001,414371.52606218006,2550216.7571253297,411026.86269162176,,,,,
2018-02,84,A14,million,107630.0,99029.0,3079487.0,0.0,36935373.0,689402.0,114753201.0,3216.30150122,376597.3520909099,855445369.0,718276986.0,282007092.0,2474871.51199668,370366.3934550014,,,,,,,,,,,,,,,,,3216.30150122,376597.3520909099,2474871.51199668,370366.3934550014,,,,,
2018-03,85,A14,million,106776.0,100276.0,3083067.0,0.0,37484955.0,785732.0,127292249.0,3693.419101219999,443080.58916311,861076200.0,774943830.0,318899139.0,2663501.8085124604,418567.12923382,,,,,,,,,,,,,,,,,3693.419101219999,443080.58916311,2663501.8085124604,418567.12923382,,,,,
