start_date,bank_names,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn,bank_type,bank_name_published
2011-05-01,STATE BANK OF HYDERABAD,997.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4962187.0,10821560.0,150131.0,28092.3,400.3,Public Sector Banks,State Bank of Hyderabad
2011-05-01,STATE BANK OF INDIA,10967.0,9318.0,0.0,0.0,2059392.0,21343.0,2957662.0,96.04848413,6117.23637738,75488000.0,144580000.0,4613000.0,391777.6,7695.1,Public Sector Banks,State Bank of India
2011-05-01,STATE BANK OF MYSORE,553.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992290.0,2158966.0,85217.0,7530.7,218.7,Public Sector Banks,State Bank of Mysore
2011-05-01,STATE BANK OF PATIALA,574.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538168.0,4609466.0,42577.0,12469.1,93.1,Public Sector Banks,State Bank of Patiala
2011-05-01,STATE BANK OF TRAVANCORE,613.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4545007.0,4929688.0,80753.0,15704.7,211.4,Public Sector Banks,State Bank of Travancore
2011-05-01,SYNDICATE BANK,1022.0,201.0,389.0,0.0,63578.0,2106.0,44356.0,8.5,113.0,5398205.0,4596978.0,246762.0,16229.3,437.5,Public Sector Banks,Syndicate Bank
2011-05-01,UCO BANK,445.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312925.0,1522931.0,73511.0,5833.8,158.0,Public Sector Banks,UCO Bank
2011-05-01,UNION BANK OF INDIA,1843.0,806.0,2736.0,0.0,38304.0,746.0,38304.0,3.4,107.8,6653052.0,12170249.0,306454.0,22543.1,522.9,Public Sector Banks,Union Bank of India
2011-05-01,UNITED BANK OF INDIA,246.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216069.0,1984506.0,55908.0,4907.7,142.0,Public Sector Banks,United Bank of India
2011-05-01,VIJAYA BANK,450.0,98.0,1200.0,0.0,41246.0,3564.0,51129.0,18.9,168.2,1610352.0,653471.0,97918.0,2164.1,186.0,Public Sector Banks,Vijaya Bank
2011-06-01,AMERICAN EXPRESS BANKING CORPORATION,0.0,0.0,16026.0,0.0,572256.0,0.0,1361879.0,0.0,9572.2,0.0,0.0,0.0,0.0,0.0,Foreign Banks,American Express Bkg. Corp.
2011-06-01,BARCLAYS BANK PLC,7.0,31.0,0.0,0.0,304363.0,0.0,169160.0,0.0,310.19958836,33477.0,43958.0,15967.0,139.02188384000002,27.570159129999983,Foreign Banks,Barclays Bank
2011-06-01,CITI BANK,58.0,642.0,9993.0,0.0,2263803.0,28787.0,5129754.0,235.899676838186,14912.5446174,2049598.0,3085330.0,1158578.0,10846.2001434311,2517.3,Foreign Banks,Citibank
2011-06-01,DBS INDIA BANK LTD,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.0,18976.0,1470.0,41.5879,2.85986655,Foreign Banks,DBS Ltd.
2011-06-01,DEUTSCHE BANK LTD,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102732.0,182141.0,70092.0,672.9,125.6,Foreign Banks,Deutsche Bank
2011-06-01,HSBC LTD,72.0,74.0,9142.0,4949.0,887625.0,3127.0,1065952.0,21.12918105,2879.6254183599003,553745.0,429745.0,247892.0,1921.03023929,575.05515359,Foreign Banks,HSBC
2011-06-01,OMAN INTERNATIONAL BANK SAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Foreign Banks,Oman International Bank SAO
2011-06-01,ROYAL BANK OF SCOTLAND N V,35.0,86.0,0.0,0.0,246011.0,1372.0,235563.0,10.49838491,671.7253860700002,336010.0,565465.0,174726.0,2142.08582975,300.07314199,Foreign Banks,RBS (ABN AMRO)
2011-06-01,STANDARD CHARTERED BANK LTD,94.0,223.0,16.0,0.0,1088975.0,2519.0,1737299.0,11.0,5220.0,772171.0,1407411.0,462080.0,4640.72024168,748.184645,Foreign Banks,Standard Chartered Bank
2011-06-01,AXIS BANK LTD,1784.0,5087.0,187142.0,0.0,648346.0,7201.0,589455.0,22.72164002,1498.3615770999984,10510389.0,38154334.0,2085447.0,86393.30369999999,3597.73157361,Private Sector Banks,Axis Bank Ltd.
2011-06-01,CITY UNION BANK LTD,192.0,75.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,489588.0,1017996.0,46931.0,3338.13,67.42,Private Sector Banks,City Union Bank Ltd
2011-06-01,CSB BANK LTD,106.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283431.0,148928.0,7353.0,348.5,12.8,Private Sector Banks,Catholic Syrian Bank Ltd.
2011-06-01,DCB BANK LTD,78.0,61.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,228223.0,355662.0,27097.0,1177.9,47.6,Private Sector Banks,Development Credit Bank Ltd.
