period,description,mcc,type,type_name,value_in_cr,volume_in_mn
2017-02,"Colleges, universities, professional schools and junior colleges",8220,All Other Categories,,0.0,0.0
2017-02,Financial institutions merchandise and services,6012,All Other Categories,,0.0,0.0
2017-02,Hospitals,8062,All Other Categories,,0.0,0.0
2017-02,"Utilities electric, gas, water and sanitary",4900,All Other Categories,,0.0,0.0
2017-02,"Lodging hotels, motels and resorts",7011,All Other Categories,,0.0,0.0
2017-02,Others,Others,All Other Categories,,0.01,0.0
2017-02,Total,,All Other Categories,,19.11,0.43
2017-03,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,17.79,0.84
2017-03,Groceries and supermarkets,5411,High Transacting Categories,,10.96,0.17
2017-03,Department stores,5311,High Transacting Categories,,2.66,0.02
2017-03,General contractors residential and commercial,1520,High Transacting Categories,,0.57,0.01
2017-03,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.1,0.01
2017-03,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,0.71,0.01
2017-03,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.08,0.01
2017-03,Debt collection agencies,7322,High Transacting Categories,,1.12,0.0
2017-03,Business services not elsewhere classified,7399,High Transacting Categories,,0.01,0.0
2017-03,Eating places and restaurants,5812,High Transacting Categories,,0.01,0.0
2017-03,Miscellaneous general merchandise,5399,Medium Transacting Categories,,0.01,0.0
2017-03,Motion picture theatres,7832,Medium Transacting Categories,,0.01,0.0
2017-03,Government services not elsewhere classified,9399,Medium Transacting Categories,,0.0,0.0
2017-03,Theatrical producers (except motion pictures) and ticket agencies,7922,Medium Transacting Categories,,0.01,0.0
2017-03,"Insurance sales, underwriting and premiums",6300,Medium Transacting Categories,,0.1,0.0
2017-03,Taxi-cabs and limousines,4121,Medium Transacting Categories,,0.0,0.0
2017-03,Buying and shopping services and clubs,7278,Medium Transacting Categories,,0.0,0.0
2017-03,Financial institutions manual cash disbursements,6010,Medium Transacting Categories,,0.0,0.0
2017-03,Travel agencies and tour operators,4722,Medium Transacting Categories,,0.01,0.0
2017-03,Electronics shops,5732,Medium Transacting Categories,,0.0,0.0
2017-03,Miscellaneous and speciality retail outlets,5999,All Other Categories,,0.01,0.0
2017-03,Drug stores and pharmacies,5912,All Other Categories,,0.0,0.0
2017-03,Petroleum and petroleum products,5172,All Other Categories,,0.0,0.0
2017-03,Securities brokers and dealers,6211,All Other Categories,,0.03,0.0
2017-03,Fast food restaurants,5814,All Other Categories,,0.0,0.0
2017-03,Beauty and barber shops,7230,All Other Categories,,0.0,0.0
2017-03,Airlines and air carriers,4511,All Other Categories,,0.0,0.0
2017-03,Courier services air and ground and freight forwarders,4215,All Other Categories,,0.0,0.0
2017-03,"Lodging hotels, motels and resorts",7011,All Other Categories,,0.0,0.0
2017-03,Others,Others,All Other Categories,,0.02,-0.01
2017-03,Total,,All Other Categories,,34.21,1.06
2017-04,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,20.28,0.84
2017-04,Groceries and supermarkets,5411,High Transacting Categories,,13.22,0.2
2017-04,Department stores,5311,High Transacting Categories,,7.22,0.05
2017-04,Wire transfers and money orders,4829,High Transacting Categories,,0.49,0.04
2017-04,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,1.1,0.01
2017-04,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.16,0.01
2017-04,General contractors residential and commercial,1520,High Transacting Categories,,0.56,0.01
