period,start_date,atmid,layout,value_unit_published,bank_type,bank_group_published,bank_name_std,bank_name_published,atm_total,pos_terminals,cc_payments_vol,cc_payments_val_mn,dc_payments_vol,dc_payments_val_mn,atm_onsite,atm_offsite,pos_online,pos_offline,cc_cards,cc_atm_vol,cc_pos_vol,cc_atm_val,cc_pos_val,dc_cards,dc_atm_vol,dc_pos_vol,dc_atm_val,dc_pos_val,atm_online,atm_offline,micro_atm,bharat_qr,pos,upi_qr,cc_ecom_vol,cc_ecom_val,cc_other_vol,cc_other_val,dc_ecom_vol,dc_ecom_val,dc_other_vol,dc_other_val,dc_cashpos_vol,dc_cashpos_val,cc_atm_val_mn,cc_pos_val_mn,dc_atm_val_mn,dc_pos_val_mn,cc_ecom_val_mn,cc_other_val_mn,dc_ecom_val_mn,dc_other_val_mn,dc_cashpos_val_mn
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,STATE BANK OF PATIALA,State Bank of Patiala,752.0,0.0,0.0,0.0,40609.0,83.3,574.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538168.0,4849553.0,40609.0,12607.5,83.3,,,,,,,,,,,,,,,,,0.0,0.0,12607.5,83.3,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,STATE BANK OF TRAVANCORE,State Bank of Travancore,850.0,0.0,0.0,0.0,75502.0,193.3,597.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4487339.0,5253112.0,75502.0,14239.6,193.3,,,,,,,,,,,,,,,,,0.0,0.0,14239.6,193.3,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,SYNDICATE BANK,Syndicate Bank,1222.0,376.0,41911.0,103.3,227842.0,384.8,1021.0,201.0,376.0,0.0,63431.0,2007.0,41911.0,7.7,103.3,5324961.0,4485495.0,227842.0,15477.0,384.8,,,,,,,,,,,,,,,,,7.7,103.3,15477.0,384.8,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,UCO BANK,UCO Bank,624.0,0.0,0.0,0.0,65292.0,131.2,426.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277651.0,1442942.0,65292.0,5449.5,131.2,,,,,,,,,,,,,,,,,0.0,0.0,5449.5,131.2,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,UNION BANK OF INDIA,Union Bank of India,2636.0,2709.0,35948.0,103.4,277161.0,450.3,1832.0,804.0,2709.0,0.0,37971.0,818.0,35948.0,3.4,103.4,6530298.0,12066286.0,277161.0,22964.8,450.3,,,,,,,,,,,,,,,,,3.4,103.4,22964.8,450.3,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,UNITED BANK OF INDIA,United Bank of India,508.0,0.0,0.0,0.0,57012.0,136.9,246.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216069.0,1997281.0,57012.0,4784.8,136.9,,,,,,,,,,,,,,,,,0.0,0.0,4784.8,136.9,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,VIJAYA BANK,Vijaya Bank,546.0,1211.0,52352.0,173.9,94791.0,174.0,448.0,98.0,1211.0,0.0,41583.0,3703.0,52352.0,20.0,173.9,1559268.0,639901.0,94791.0,2058.2,174.0,,,,,,,,,,,,,,,,,20.0,173.9,2058.2,174.0,,,,,
2011-05,2011-05-01,8,A14,million,Foreign Banks,,AMERICAN EXPRESS BANKING CORPORATION,American Express Bkg. Corp.,0.0,15894.0,1401061.0,10096.7,0.0,0.0,0.0,0.0,15894.0,0.0,564158.0,0.0,1401061.0,0.0,10096.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,10096.7,0.0,0.0,,,,,
2011-05,2011-05-01,8,A14,million,Foreign Banks,,BARCLAYS BANK PLC,Barclays Bank,37.0,0.0,181918.0,336.07061609,17904.0,31.090099660000018,7.0,30.0,0.0,0.0,318340.0,0.0,181918.0,0.0,336.07061609,27694.0,42306.0,17904.0,144.27049329,31.090099660000018,,,,,,,,,,,,,,,,,0.0,336.07061609,144.27049329,31.090099660000018,,,,,
2011-05,2011-05-01,8,A14,million,Foreign Banks,,CITI BANK,Citibank,667.0,10310.0,5253228.0,16263.30125222,1170438.0,2580.5,58.0,609.0,10310.0,0.0,2257163.0,28687.0,5253228.0,241.74542368,16263.30125222,2034062.0,2988336.0,1170438.0,10520.0,2580.5,,,,,,,,,,,,,,,,,241.74542368,16263.30125222,10520.0,2580.5,,,,,
